name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event
PyData Hong Kong,https://www.meetup.com/PyData-Hong-Kong,PyData-Hong-Kong,289,Hong Kong,4.6,Hong Kong,22.2792968,114.1628907,中国,20,5.0,Howard Cheung,2025-12-16T10:30:00+08:00[Asia/Shanghai],False,https://www.meetup.com/PyData-Hong-Kong/events/,https://www.meetup.com/PyData-Hong-Kong/members/?op=leaders,92.0
PyData Karachi,https://www.meetup.com/pydata-karachi,pydata-karachi,318,Karachi,,Karachi,24.8546842,67.0207055,پاکستان,0,,Awaish Maheshwari,,False,https://www.meetup.com/pydata-karachi/events/,https://www.meetup.com/pydata-karachi/members/?op=leaders,
PyData Indore,https://www.meetup.com/pydata-indore,pydata-indore,113,Indore,,Indore,22.7203616,75.8681996,India,0,,Sumit S Chawla,,False,https://www.meetup.com/pydata-indore/events/,https://www.meetup.com/pydata-indore/members/?op=leaders,
Data Engineering Pilipinas - a PyData group,https://www.meetup.com/data-engineering-pilipinas,data-engineering-pilipinas,3885,Mandaluyong,4.6,"Manila, Philippines",14.5904492,120.9803621,Philippines,77,13.0,Myk Ogbinar,2026-03-14T11:00:00+08:00[Asia/Manila],True,https://www.meetup.com/data-engineering-pilipinas/events/,https://www.meetup.com/data-engineering-pilipinas/members/?op=leaders,4.0
PyData Kampala,https://www.meetup.com/PyData-Kampala,PyData-Kampala,1124,Kampala,4.9,Kampala,0.3177137,32.5813539,Uganda,17,6.0,Ernest Kabahima,2025-12-09T10:30:00+03:00[Africa/Kampala],False,https://www.meetup.com/PyData-Kampala/events/,https://www.meetup.com/PyData-Kampala/members/?op=leaders,98.0
PyData Mumbai,https://www.meetup.com/PyDataMumbai,PyDataMumbai,1415,Mumbai,4.5,Mumbai,19.054999,72.8692035,India,38,3.0,Sukanya Mandal,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/PyDataMumbai/events/,https://www.meetup.com/PyDataMumbai/members/?op=leaders,98.0
PyData Chiang Mai,https://www.meetup.com/pydata-chiang-mai,pydata-chiang-mai,24,Chiang Mai,,Chiang Mai,18.7882778,98.9858802,ประเทศไทย,4,3.0,"NumFOCUS, Inc.",2026-02-09T11:30:00+07:00[Asia/Bangkok],False,https://www.meetup.com/pydata-chiang-mai/events/,https://www.meetup.com/pydata-chiang-mai/members/?op=leaders,37.0
PyData Pune,https://www.meetup.com/pydata-pune,pydata-pune,5590,Pune,4.4,Pune,18.5213738,73.8545071,India,47,7.0,MAYANK MISHRA,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/pydata-pune/events/,https://www.meetup.com/pydata-pune/members/?op=leaders,98.0
PyData Nairobi,https://www.meetup.com/PyData-Nairobi,PyData-Nairobi,947,Nairobi,5.0,Nairobi,-1.2890006,36.8172812,Kenya,11,4.0,Robin Kiplangat,2025-12-09T10:30:00+03:00[Africa/Nairobi],False,https://www.meetup.com/PyData-Nairobi/events/,https://www.meetup.com/PyData-Nairobi/members/?op=leaders,98.0
PyData Brisbane,https://www.meetup.com/PyData-Brisbane,PyData-Brisbane,58,Brisbane,,Brisbane,-27.4689623,153.0235009,Australia,1,,Nikhil Ahuja,2025-08-08T03:00:00+10:00[Australia/Brisbane],False,https://www.meetup.com/PyData-Brisbane/events/,https://www.meetup.com/PyData-Brisbane/members/?op=leaders,222.0
PyData Bangalore,https://www.meetup.com/pydata-bangalore,pydata-bangalore,3312,Bangalore,4.7,Bangalore,12.9767936,77.590082,India,20,4.0,Vinayak Mehta,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/pydata-bangalore/events/,https://www.meetup.com/pydata-bangalore/members/?op=leaders,98.0
PyData OMR,https://www.meetup.com/pydata-omr,pydata-omr,2408,Chennai,3.9,"Chennai, India",13.0836939,80.270186,India,13,,,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/pydata-omr/events/,https://www.meetup.com/pydata-omr/members/?op=leaders,98.0
PyData Chennai,https://www.meetup.com/PyData-Chennai,PyData-Chennai,3311,Chennai,,Chennai,13.0836939,80.270186,India,25,,"NumFOCUS, Inc.",2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/PyData-Chennai/events/,https://www.meetup.com/PyData-Chennai/members/?op=leaders,98.0
PyData Tanzania,https://www.meetup.com/pydata-tanzania,pydata-tanzania,265,Dar es Salaam,,Tanzania,-6.5247123,35.7878438,Tanzania,2,,Python Tanzania Secretariat,2025-08-11T05:00:00+03:00[Africa/Dar_es_Salaam],False,https://www.meetup.com/pydata-tanzania/events/,https://www.meetup.com/pydata-tanzania/members/?op=leaders,219.0
PyData Cape Town,https://www.meetup.com/PyData-Cape-Town,PyData-Cape-Town,340,Cape Town,,Cape Town,-33.9288301,18.4172197,South Africa,7,4.0,Laura Richter,2025-12-09T10:30:00+02:00[Africa/Johannesburg],False,https://www.meetup.com/PyData-Cape-Town/events/,https://www.meetup.com/PyData-Cape-Town/members/?op=leaders,98.0
PyData Sydney,https://www.meetup.com/PyData-Sydney,PyData-Sydney,2068,Sydney,4.4,Sydney,-33.8698439,151.2082848,Australia,24,8.0,Kale Temple,2025-12-09T10:30:00+11:00[Australia/Sydney],False,https://www.meetup.com/PyData-Sydney/events/,https://www.meetup.com/PyData-Sydney/members/?op=leaders,99.0
PyData Johannesburg,https://www.meetup.com/pydata-johannesburg,pydata-johannesburg,2204,Johannesburg,4.7,Johannesburg,-26.205,28.049722,South Africa,38,,"NumFOCUS, Inc.",2025-12-09T10:30:00+02:00[Africa/Johannesburg],False,https://www.meetup.com/pydata-johannesburg/events/,https://www.meetup.com/pydata-johannesburg/members/?op=leaders,98.0
PyData Sri Lanka,https://www.meetup.com/colombo-pydata-meetup-group,colombo-pydata-meetup-group,308,Colombo,4.5,Sri Lanka,7.5554942,80.7137847,Sri Lanka,2,6.0,Dilshan Stephen Sonnadara,2025-09-01T09:30:00+05:30[Asia/Colombo],False,https://www.meetup.com/colombo-pydata-meetup-group/events/,https://www.meetup.com/colombo-pydata-meetup-group/members/?op=leaders,198.0
PyData Kuala Lumpur,https://www.meetup.com/PyDataKL,PyDataKL,315,Kuala Lumpur,4.1,Kuala Lumpur,3.1516964,101.6942371,Malaysia,11,3.0,Philip Khor,2025-12-09T10:30:00+08:00[Asia/Kuala_Lumpur],False,https://www.meetup.com/PyDataKL/events/,https://www.meetup.com/PyDataKL/members/?op=leaders,99.0
PyData Singapore,https://www.meetup.com/PyData-SG,PyData-SG,5708,Singapore,4.5,Singapore,1.357107,103.8194992,Singapore,58,6.0,Adam Drake,2025-12-09T10:30:00+08:00[Asia/Singapore],False,https://www.meetup.com/PyData-SG/events/,https://www.meetup.com/PyData-SG/members/?op=leaders,99.0
PyData Melbourne,https://www.meetup.com/pydata-melbourne,pydata-melbourne,198,Melbourne,4.9,Melbourne,-37.8142454,144.9631732,Australia,1,,Shashank Shekhar,2025-07-28T07:30:00+10:00[Australia/Melbourne],False,https://www.meetup.com/pydata-melbourne/events/,https://www.meetup.com/pydata-melbourne/members/?op=leaders,233.0
PyData Mauritius,https://www.meetup.com/pydata-mu,pydata-mu,87,Riviere du Rempart,,Mauritius,-20.2759451,57.5703566,Mauritius / Maurice,2,3.0,Aditya Bholah,2025-09-27T06:00:00+04:00[Indian/Mauritius],False,https://www.meetup.com/pydata-mu/events/,https://www.meetup.com/pydata-mu/members/?op=leaders,172.0
